"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","REG_SHO","Rule_3210","Country of Domicile","Company Name"
"MULI","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","MULTI-CORP INTL INC","N","N","USA","Multi-Corp International, Inc."
"MUNDF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MINERA GOLD LTD ORD","N","N","","Minera Gold Ltd."
"MUNMF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MUNDORO CAPITAL INC","N","N","Canada","Mundoro Capital, Inc."
"MUPGF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MASUPARIA GOLD CRP NO PAR","N","N","Canada","Masuparia Gold Corp."
"MURCF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MONSTER URANIUM CORP","N","N","Canada","Monster Uranium Corp."
"MURGF","OTC Link","15/10/2014","OTC Pink Current","N","Ordinary Shares","","MUENCHENER RUEKVR GES SHS","N","N","Germany","Muenchener Rueckver Ges"
"MURGY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","MUENCHENER RE GP UNSP/ADR","N","N","Germany","Muenchener Rueckver Ges"
"MURSF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MURRAY & ROB HLDGS ORD","N","N","South Africa","Murray & Roberts Holdings Ltd."
"MURYF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MURRAY INTL TR PLC ORD","N","N","","Murray International Trust Plc"
"MURZY","OTC Link","15/10/2014","OTC Pink Current","N","American Depository Receipts","","MURRAY & ROB HL S/ADR","N","N","South Africa","Murray & Roberts Holdings Ltd."
"MUSJF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MISYS PLC ORD","N","N","United Kingdom","Misys plc"
"MUSS","OTC Link","15/10/2014","OTCQB","N","Common Stock","","MULTI SOLUTIONS II INC","N","N","USA","Multi Solutions II Inc"
"MUTM","OTC Link","15/10/2014","OTC Pink No Information","Y","Common Stock","","MUTUAL MERCHANT SVCS INC","N","N","USA","Mutual Merchant Services, Inc."
"MVAC","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","MOTORVAC TECHS INC","N","N","Canada","MotorVac Technologies, Inc."
"MVBF","OTC Link","15/10/2014","OTCQB","N","Common Stock","","MVB FINANCIAL CORP","N","N","USA","MVB Financial Corp."
"MVBFO","Grey Market","15/10/2014","Grey Market","N","Preferred Stock","","MVB FINCL CORP PFD C","N","N","USA","MVB Financial Corp."
"MVBFP","Grey Market","15/10/2014","Grey Market","N","Preferred Stock","","MVB FINCL CORP PFD B","N","N","USA","MVB Financial Corp."
"MVBY","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","MY VINTAGE BABY INC","N","N","USA","My Vintage Baby, Inc."
"MVES","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","THE MOVIE STUDIO INC","N","N","USA","The Movie Studio, Inc."
"MVIV","Grey Market","15/10/2014","Grey Market","Y","Common Stock","","MVIVE INC","N","N","Canada","Mvive, Inc."
"MVLY","OTC Link","15/10/2014","OTCQX U.S. Premier","N","Common Stock","","MISSION VALLEY BANCORP","N","N","USA","Mission Valley Bancorp"
"MVPH","Grey Market","15/10/2014","Grey Market","N","Common Stock","","MVP HOLDINGS INC","N","N","USA","MVP Holdings, Inc."
"MVPI","OTC Link","15/10/2014","OTCQB","N","Common Stock","","MV PORTFOLIOS INC","N","N","USA","MV Portfolios Inc."
"MVRBF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","B","MEDIVIR B","N","N","Sweden","Medivir AB"
"MVRBY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","MEDIVIR AB UNSP/ADR","N","N","Sweden","Medivir AB"
"MVRM","OTC Link","15/10/2014","OTCQB","N","Common Stock","","MAVERICK MINERALS CORP","N","N","Canada","Maverick Minerals Corp."
"MVSCF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MULTIVISION COMMUNS NEW","N","N","Canada","Multivision Communications Corp"
"MVTG","OTC Link","15/10/2014","OTCQB","N","Common Stock","","MANTRA VENTURE GROUP LTD","N","N","Canada","Mantra Venture Group, Ltd."
"MWATF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","","MODERN WATER PLC ORD","N","N","","Modern Water Plc"
"MWCAF","Grey Market","15/10/2014","Grey Market","N","Ordinary Shares","A","MATACHEWAN CONSOL MINES A","N","N","Canada","Matachewan Consolidated Mines Ltd."
"MWCTY","Grey Market","15/10/2014","Grey Market","N","American Depository Receipts","","MOSCOW CITY TEL NTWRK ADR","N","N","Russia","Moscow City Telephone Network"
"MWEB","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","MYWEB INC.COM","N","N","","MyWeb Inc.com"
"MWIS","OTC Link","15/10/2014","OTC Pink No Information","N","Common Stock","","M-WISE INC","N","N","Israel","m-Wise, Inc."
"MWKI","OTC Link","15/10/2014","OTCQB","N","Common Stock","","MILWAUKEE IRON ARENA INC","N","N","USA","Milwaukee Iron Arena Football, Inc."
